trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",20,0,-56.46362449292869,"{0: 12, 1: 3, 2: 4, 3: 1, 4: 0}",0
2,False,"{'a': 0.5, 'e': 0.99}",25,0,-130.35443735271352,"{0: 18, 1: 2, 2: 2, 3: 0, 4: 3}",0
3,False,"{'a': 0.5, 'e': 0.9801}",25,0,-215.96525052794973,"{0: 14, 1: 2, 2: 4, 3: 1, 4: 4}",0
4,False,"{'a': 0.5, 'e': 0.970299}",20,0,-145.21284801030407,"{0: 11, 1: 1, 2: 5, 3: 1, 4: 2}",0
5,False,"{'a': 0.5, 'e': 0.96059601}",20,9,-57.50312788766195,"{0: 8, 1: 0, 2: 1, 3: 1, 4: 1}",1
6,False,"{'a': 0.5, 'e': 0.9509900498999999}",20,0,-61.345873832078894,"{0: 14, 1: 2, 2: 3, 3: 0, 4: 1}",0
7,False,"{'a': 0.5, 'e': 0.941480149401}",20,0,-17.235059611218617,"{0: 17, 1: 1, 2: 1, 3: 1, 4: 0}",0
8,False,"{'a': 0.5, 'e': 0.9320653479069899}",20,0,-216.55574580827377,"{0: 10, 1: 0, 2: 5, 3: 1, 4: 4}",0
9,False,"{'a': 0.5, 'e': 0.9227446944279201}",20,0,-85.21098580365891,"{0: 13, 1: 3, 2: 2, 3: 1, 4: 1}",0
10,False,"{'a': 0.5, 'e': 0.9135172474836408}",25,0,-178.87581312465255,"{0: 17, 1: 0, 2: 4, 3: 0, 4: 4}",0
11,False,"{'a': 0.5, 'e': 0.9043820750088044}",20,0,-65.29686261773612,"{0: 15, 1: 1, 2: 2, 3: 1, 4: 1}",0
12,False,"{'a': 0.5, 'e': 0.8953382542587164}",20,0,-171.2633986144258,"{0: 9, 1: 0, 2: 8, 3: 1, 4: 2}",0
13,False,"{'a': 0.5, 'e': 0.8863848717161292}",20,0,-9.438644309285008,"{0: 17, 1: 0, 2: 3, 3: 0, 4: 0}",0
14,False,"{'a': 0.5, 'e': 0.8775210229989678}",20,0,-67.92992166324903,"{0: 10, 1: 4, 2: 6, 3: 0, 4: 0}",0
15,False,"{'a': 0.5, 'e': 0.8687458127689782}",30,0,-68.00950602673169,"{0: 24, 1: 0, 2: 5, 3: 0, 4: 1}",0
16,False,"{'a': 0.5, 'e': 0.8600583546412884}",20,0,-64.67731233486771,"{0: 13, 1: 1, 2: 5, 3: 1, 4: 0}",0
17,False,"{'a': 0.5, 'e': 0.8514577710948755}",20,0,-119.26867928648694,"{0: 11, 1: 2, 2: 4, 3: 2, 4: 1}",0
18,False,"{'a': 0.5, 'e': 0.8429431933839268}",20,7,-25.061329679696073,"{0: 8, 1: 4, 2: 0, 3: 1, 4: 0}",1
19,False,"{'a': 0.5, 'e': 0.8345137614500875}",25,0,-140.64291764711112,"{0: 18, 1: 0, 2: 4, 3: 0, 4: 3}",0
20,False,"{'a': 0.5, 'e': 0.8261686238355866}",25,0,-127.52776533730109,"{0: 18, 1: 2, 2: 2, 3: 0, 4: 3}",0
21,False,"{'a': 0.5, 'e': 0.8179069375972308}",25,0,-125.35907697588571,"{0: 17, 1: 1, 2: 4, 3: 1, 4: 2}",0
22,False,"{'a': 0.5, 'e': 0.8097278682212584}",30,0,-128.8418535218174,"{0: 17, 1: 4, 2: 7, 3: 1, 4: 1}",0
23,False,"{'a': 0.5, 'e': 0.8016305895390459}",20,0,-127.76989797548195,"{0: 10, 1: 3, 2: 4, 3: 2, 4: 1}",0
24,False,"{'a': 0.5, 'e': 0.7936142836436554}",30,0,-120.43542360423264,"{0: 21, 1: 2, 2: 5, 3: 0, 4: 2}",0
25,False,"{'a': 0.5, 'e': 0.7856781408072188}",20,0,-223.9154905795575,"{0: 8, 1: 3, 2: 4, 3: 1, 4: 4}",0
26,False,"{'a': 0.5, 'e': 0.7778213593991467}",25,0,-47.95688614784577,"{0: 19, 1: 1, 2: 4, 3: 1, 4: 0}",0
27,False,"{'a': 0.5, 'e': 0.7700431458051551}",20,2,-102.780384962651,"{0: 11, 1: 2, 2: 3, 3: 0, 4: 2}",1
28,False,"{'a': 0.5, 'e': 0.7623427143471035}",25,4,-112.7247758648389,"{0: 14, 1: 2, 2: 2, 3: 1, 4: 2}",1
29,False,"{'a': 0.5, 'e': 0.7547192872036326}",30,0,-53.89902776072779,"{0: 21, 1: 4, 2: 4, 3: 1, 4: 0}",0
30,False,"{'a': 0.5, 'e': 0.7471720943315961}",30,0,-48.89387690655473,"{0: 22, 1: 1, 2: 7, 3: 0, 4: 0}",0
31,False,"{'a': 0.5, 'e': 0.7397003733882802}",25,0,-120.45810625860082,"{0: 15, 1: 3, 2: 3, 3: 3, 4: 1}",0
32,False,"{'a': 0.5, 'e': 0.7323033696543975}",25,0,-65.29560061984661,"{0: 17, 1: 4, 2: 3, 3: 0, 4: 1}",0
33,False,"{'a': 0.5, 'e': 0.7249803359578534}",25,9,-2.219497456532867,"{0: 13, 1: 1, 2: 2, 3: 0, 4: 0}",1
34,False,"{'a': 0.5, 'e': 0.7177305325982749}",20,2,-81.5646660768581,"{0: 12, 1: 2, 2: 1, 3: 2, 4: 1}",1
35,False,"{'a': 0.5, 'e': 0.7105532272722921}",20,0,-89.8786023619458,"{0: 15, 1: 1, 2: 2, 3: 0, 4: 2}",0
36,False,"{'a': 0.5, 'e': 0.7034476949995692}",30,5,-99.60522093804984,"{0: 17, 1: 3, 2: 3, 3: 0, 4: 2}",1
37,False,"{'a': 0.5, 'e': 0.6964132180495735}",20,5,-53.32440791363886,"{0: 11, 1: 0, 2: 3, 3: 0, 4: 1}",1
38,False,"{'a': 0.5, 'e': 0.6894490858690777}",20,16,7.555900328257899,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
39,False,"{'a': 0.5, 'e': 0.682554595010387}",30,10,-80.23640157495916,"{0: 15, 1: 2, 2: 1, 3: 0, 4: 2}",1
40,False,"{'a': 0.5, 'e': 0.6757290490602831}",25,0,-35.212110629139616,"{0: 19, 1: 2, 2: 3, 3: 1, 4: 0}",0
41,False,"{'a': 0.5, 'e': 0.6689717585696803}",20,9,-25.52625456716213,"{0: 8, 1: 0, 2: 2, 3: 1, 4: 0}",1
42,False,"{'a': 0.5, 'e': 0.6622820409839835}",20,0,-66.86448513877767,"{0: 14, 1: 1, 2: 4, 3: 0, 4: 1}",0
43,False,"{'a': 0.5, 'e': 0.6556592205741436}",20,0,-59.39327740980137,"{0: 15, 1: 0, 2: 4, 3: 0, 4: 1}",0
44,False,"{'a': 0.5, 'e': 0.6491026283684022}",20,0,-100.7876955050004,"{0: 15, 1: 0, 2: 2, 3: 1, 4: 2}",0
45,False,"{'a': 0.5, 'e': 0.6426116020847181}",25,14,7.464560899578308,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 0}",1
46,False,"{'a': 0.5, 'e': 0.6361854860638709}",20,0,-48.216691423180556,"{0: 14, 1: 1, 2: 4, 3: 1, 4: 0}",0
47,False,"{'a': 0.5, 'e': 0.6298236312032323}",20,14,-18.502555075762505,"{0: 4, 1: 1, 2: 0, 3: 1, 4: 0}",1
48,False,"{'a': 0.5, 'e': 0.6235253948912}",20,9,-52.84850842708272,"{0: 6, 1: 2, 2: 1, 3: 2, 4: 0}",1
49,False,"{'a': 0.5, 'e': 0.617290140942288}",25,11,-70.60414999166147,"{0: 8, 1: 1, 2: 4, 3: 0, 4: 1}",1
50,False,"{'a': 0.5, 'e': 0.611117239532865}",30,7,-78.57707948981981,"{0: 18, 1: 2, 2: 1, 3: 0, 4: 2}",1
51,False,"{'a': 0.5, 'e': 0.6050060671375364}",30,0,-93.0747464232599,"{0: 24, 1: 0, 2: 4, 3: 0, 4: 2}",0
52,False,"{'a': 0.5, 'e': 0.598956006466161}",25,0,-113.29509242387616,"{0: 20, 1: 0, 2: 2, 3: 0, 4: 3}",0
53,False,"{'a': 0.5, 'e': 0.5929664464014994}",25,17,2.2534698129341457,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 0}",1
54,False,"{'a': 0.5, 'e': 0.5870367819374844}",20,14,13.97886091683619,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
55,False,"{'a': 0.5, 'e': 0.5811664141181095}",25,16,-1.9096287381146206,"{0: 7, 1: 1, 2: 1, 3: 0, 4: 0}",1
56,False,"{'a': 0.5, 'e': 0.5753547499769285}",30,0,-193.1775858851584,"{0: 19, 1: 2, 2: 5, 3: 0, 4: 4}",0
