trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",20,0,-89.86507733059892,"{0: 12, 1: 3, 2: 3, 3: 1, 4: 1}",0
2,False,"{'a': 0.5, 'e': 1.0}",20,12,-21.101190791844935,"{0: 5, 1: 0, 2: 3, 3: 0, 4: 0}",1
3,False,"{'a': 0.5, 'e': 1.0}",25,0,-86.0004989323402,"{0: 15, 1: 4, 2: 4, 3: 2, 4: 0}",0
4,False,"{'a': 0.5, 'e': 1.0}",20,0,-145.77996728467653,"{0: 12, 1: 1, 2: 3, 3: 2, 4: 2}",0
5,False,"{'a': 0.5, 'e': 1.0}",20,13,12.056206289613991,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
6,False,"{'a': 0.5, 'e': 1.0}",20,6,-69.75794172697366,"{0: 10, 1: 0, 2: 2, 3: 1, 4: 1}",1
7,False,"{'a': 0.5, 'e': 1.0}",25,0,-260.4771457587578,"{0: 10, 1: 1, 2: 9, 3: 1, 4: 4}",0
8,False,"{'a': 0.5, 'e': 1.0}",20,0,-164.04974935240583,"{0: 11, 1: 3, 2: 2, 3: 1, 4: 3}",0
9,False,"{'a': 0.5, 'e': 1.0}",20,1,-66.13356190962733,"{0: 12, 1: 0, 2: 6, 3: 1, 4: 0}",1
10,False,"{'a': 0.5, 'e': 1.0}",20,0,-111.96969388998403,"{0: 12, 1: 2, 2: 4, 3: 0, 4: 2}",1
11,False,"{'a': 0.5, 'e': 1.0}",20,0,-49.84158628830169,"{0: 12, 1: 2, 2: 6, 3: 0, 4: 0}",0
12,False,"{'a': 0.5, 'e': 1.0}",20,0,-111.39032591046539,"{0: 11, 1: 4, 2: 2, 3: 2, 4: 1}",0
13,False,"{'a': 0.5, 'e': 1.0}",25,0,-109.64842224586164,"{0: 14, 1: 2, 2: 8, 3: 0, 4: 1}",0
14,False,"{'a': 0.5, 'e': 1.0}",25,0,-188.6429409933771,"{0: 12, 1: 4, 2: 5, 3: 1, 4: 3}",0
15,False,"{'a': 0.5, 'e': 1.0}",20,5,-30.79009222642119,"{0: 10, 1: 1, 2: 4, 3: 0, 4: 0}",1
16,False,"{'a': 0.5, 'e': 1.0}",20,0,-109.26766222171132,"{0: 10, 1: 2, 2: 7, 3: 0, 4: 1}",0
17,False,"{'a': 0.5, 'e': 1.0}",25,0,-148.12916380044564,"{0: 11, 1: 4, 2: 8, 3: 1, 4: 1}",0
18,False,"{'a': 0.5, 'e': 1.0}",30,0,-175.6088348391611,"{0: 15, 1: 6, 2: 6, 3: 1, 4: 2}",0
19,False,"{'a': 0.5, 'e': 1.0}",30,0,-79.69854092259263,"{0: 17, 1: 7, 2: 6, 3: 0, 4: 0}",0
20,False,"{'a': 0.5, 'e': 1.0}",30,0,-113.38642678818722,"{0: 18, 1: 5, 2: 5, 3: 1, 4: 1}",0
1,True,"{'a': 0.5, 'e': 1.0}",30,0,-186.09558266429963,"{0: 17, 1: 4, 2: 5, 3: 1, 4: 3}",0
2,True,"{'a': 0.5, 'e': 1.0}",25,0,-93.76230310198515,"{0: 15, 1: 3, 2: 4, 3: 3, 4: 0}",0
3,True,"{'a': 0.5, 'e': 1.0}",30,0,-273.18030252174236,"{0: 11, 1: 4, 2: 10, 3: 2, 4: 3}",0
4,True,"{'a': 0.5, 'e': 1.0}",20,0,-157.33508284295348,"{0: 11, 1: 1, 2: 5, 3: 0, 4: 3}",0
5,True,"{'a': 0.5, 'e': 1.0}",20,0,-121.218288039704,"{0: 10, 1: 2, 2: 6, 3: 1, 4: 1}",0
6,True,"{'a': 0.5, 'e': 1.0}",20,0,-120.23833325147018,"{0: 8, 1: 4, 2: 7, 3: 0, 4: 1}",0
7,True,"{'a': 0.5, 'e': 1.0}",20,0,-204.004218825156,"{0: 10, 1: 2, 2: 3, 3: 1, 4: 4}",0
8,True,"{'a': 0.5, 'e': 1.0}",30,0,-76.81538877228869,"{0: 19, 1: 4, 2: 6, 3: 1, 4: 0}",0
9,True,"{'a': 0.5, 'e': 1.0}",25,0,-157.85781943946216,"{0: 14, 1: 4, 2: 3, 3: 2, 4: 2}",0
10,True,"{'a': 0.5, 'e': 1.0}",25,0,-175.06014881724332,"{0: 15, 1: 3, 2: 2, 3: 2, 4: 3}",0
